scientific_name	rank	aphia_id	parent_name	parent_id	authority	status	kingdom	phylum	class	order	family	genus	classification
Pinnularia lange-bertalotii	Species	613474	Pinnularia	149208	K.Krammer, 1992	uncertain	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Pinnulariaceae - [Genus] Pinnularia - [Species] Pinnularia lange-bertalotii
Pinnularia renata	Species	613489	Pinnularia	149208	K.Krammer, 1992	uncertain	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Pinnulariaceae - [Genus] Pinnularia - [Species] Pinnularia renata
Pinnularia rhombarea	Species	613490	Pinnularia	149208	Krammer, 1998	uncertain	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Pinnulariaceae - [Genus] Pinnularia - [Species] Pinnularia rhombarea
Pinnularia schoenfelderi	Species	613493	Pinnularia	149208	Krammer, 1992	uncertain	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Pinnulariaceae - [Genus] Pinnularia - [Species] Pinnularia schoenfelderi
Pinnularia similiformis	Species	613494	Pinnularia	149208	K.Krammer, 1992	uncertain	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Pinnulariaceae - [Genus] Pinnularia - [Species] Pinnularia similiformis
Pinnularia sinistra	Species	613495	Pinnularia	149208	Krammer, 1992	uncertain	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Pinnulariaceae - [Genus] Pinnularia - [Species] Pinnularia sinistra
Pinnularia subcommutata	Species	613499	Pinnularia	149208	Krammer, 1992	uncertain	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Pinnulariaceae - [Genus] Pinnularia - [Species] Pinnularia subcommutata
Pinnularia subrupestris	Species	613503	Pinnularia	149208	K.Krammer, 1992	accepted	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Ochrophyta - [Subphylum] Khakista - [Class] Bacillariophyceae - [Subclass] Bacillariophycidae - [Superorder] Bacillariophycanae - [Order] Naviculales - [Family] Pinnulariaceae - [Genus] Pinnularia - [Species] Pinnularia subrupestris
Planktolyngbya brevicellularis	Species	613532	Planktolyngbya	146677	G.Cronberg & Komárek, 1994	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Leptolyngbyaceae	Planktolyngbya	[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Synechococcophycideae - [Order] Synechococcales - [Family] Leptolyngbyaceae - [Subfamily] Leptolyngbyoideae - [Genus] Planktolyngbya - [Species] Planktolyngbya brevicellularis
Planktolyngbya crassa	Species	613533	Planktolyngbya	146677	J.Komárková-Legnerová & Cronberg, 1992	accepted	Bacteria	Cyanobacteria	Cyanophyceae	Synechococcales	Leptolyngbyaceae	Planktolyngbya	[] Biota - [Kingdom] Bacteria - [Subkingdom] Gracilicutes - [Phylum] Cyanobacteria - [Class] Cyanophyceae - [Subclass] Synechococcophycideae - [Order] Synechococcales - [Family] Leptolyngbyaceae - [Subfamily] Leptolyngbyoideae - [Genus] Planktolyngbya - [Species] Planktolyngbya crassa
