scientific_name	rank	aphia_id	parent_name	parent_id	authority	status	kingdom	phylum	class	order	family	genus	classification
Leegaardiella ovalis	Species	101206	Leegaardiella	101179	Lynn & Montagnes, 1988	accepted	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Leegaardiellina - [Family] Leegaardiellidae - [Genus] Leegaardiella - [Species] Leegaardiella ovalis
Leegaardiella sol	Species	101207	Leegaardiella	101179	Lynn & Montagnes, 1988	accepted	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Leegaardiellina - [Family] Leegaardiellidae - [Genus] Leegaardiella - [Species] Leegaardiella sol
Lohmanniella oviformis	Species	101209	Lohmanniella	101180	Leegaard, 1915	accepted	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Lohmanniellidae	Lohmanniella	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Lohmanniellina - [Family] Lohmanniellidae - [Genus] Lohmanniella - [Species] Lohmanniella oviformis
Strobilidium spiralis	Species	101236	Strobilidium	101185	(Leegaard, 1915) Lynn & Montagnes, 1988	unaccepted	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Strobilidiidae	Strobilidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Strobilidiina - [Family] Strobilidiidae - [Genus] Strobilidium - [Species] Strobilidium spiralis
Laboea strobila	Species	101264	Laboea	101190	Lohmann, 1908	accepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Tontoniidae	Laboea	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Tontoniidae - [Genus] Laboea - [Species] Laboea strobila
Strombidium capitatum	Species	101282	Strombidium	101195	(Leegaard, 1915) Kahl, 1932	accepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium capitatum
Strombidium compressum	Species	101287	Strombidium	101195	(Leegaard, 1915) Kahl, 1932	accepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium compressum
Strombidium conicoides	Species	101288	Strombidium	101195	(Leegaard, 1915) Kahl, 1932	nomen dubium	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium conicoides
Strombidium conicum	Species	101289	Strombidium	101195	(Lohmann, 1908) Wulff, 1919	accepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium conicum
Strombidium constrictum	Species	101290	Strombidium	101195	(Meunier, 1910) Wulff, 1919	unaccepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium constrictum
Strombidium lagenula	Species	101310	Strombidium	101195	Fauré-Fremiet, 1924	accepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium lagenula
Strombidium reticulatum	Species	101325	Strombidium	101195	(Leegaard, 1915) Busch, 1921	nomen dubium	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium reticulatum
Strombidium sulcatum	Species	101335	Strombidium	101195	Claparède & Lachmann, 1859	accepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium sulcatum
Strombidium vestitum	Species	101342	Strombidium	101195	(Leegaard, 1915) Kahl, 1932	accepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium vestitum
Strombidium wulffi	Species	101344	Strombidium	101195	Kahl, 1932	accepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium - [Species] Strombidium wulffi
Tontonia gracillima	Species	101347	Tontonia	101196	Fauré-Fremiet, 1924	unaccepted	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Tontoniidae	Tontonia	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Tontoniidae - [Genus] Tontonia - [Species] Tontonia gracillima
Strombidinopsis acuminata	Species	101350	Strombidinopsis	101198	Fauré-Fremiet, 1924	accepted	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Strombidinopsidae	Strombidinopsis	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Strombidinopsina - [Family] Strombidinopsidae - [Genus] Strombidinopsis - [Species] Strombidinopsis acuminata
Amastigomonas debruynei	Species	103429	Amastigomonas	103425	De Saeleer	accepted	Protozoa					Amastigomonas	[] Biota - [Kingdom] Protozoa - [Subkingdom] Protozoa incertae sedis - [Genus] Amastigomonas - [Species] Amastigomonas debruynei
Amastigomonas mutabilis	Species	103430	Amastigomonas	103425	(Griessmann) Molina & Nerad, 1991	uncertain	Protozoa					Amastigomonas	[] Biota - [Kingdom] Protozoa - [Subkingdom] Protozoa incertae sedis - [Genus] Amastigomonas - [Species] Amastigomonas mutabilis
Bicosoeca ainikkiae	Species	103993	Bicosoeca	103987	Järnefelt	uncertain	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca ainikkiae
Bicosoeca gracilipes	Species	103996	Bicosoeca	103987	H.J.Clark, 1867	accepted	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca gracilipes
Bicosoeca lacustris	Species	103997	Bicosoeca	103987	H.J.Clark, 1867	accepted	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca lacustris
Bicosoeca maris	Species	103998	Bicosoeca	103987	Picken, 1941	accepted	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca maris
Bicosoeca mediterranea	Species	103999	Bicosoeca	103987	Pavillard, 1916	accepted	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca mediterranea
Bicosoeca mignotii	Species	104000	Bicosoeca	103987	Moestrup, Thomsen & Hibberd	uncertain	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca mignotii
Bicosoeca petiolata	Species	104002	Bicosoeca	103987	(Stein) Pringsheim, 1946	accepted	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca petiolata
Bicosoeca planctonica	Species	104003	Bicosoeca	103987	Kisselev	accepted	Chromista	Bigyra	Bicoecea	Bicoecida	Bicosoecaceae	Bicosoeca	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Bicosoecaceae - [Genus] Bicosoeca - [Species] Bicosoeca planctonica
Cafeteria roenbergensis	Species	104012	Cafeteria	103989	Fenchel & D.J.Patterson, 1988	accepted	Chromista	Bigyra	Bicoecea	Bicoecida	Cafeteriaceae	Cafeteria	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Cafeteriaceae - [Genus] Cafeteria - [Species] Cafeteria roenbergensis
Pseudobodo tremulans	Species	104015	Pseudobodo	103990	Griessmann, 1913	accepted	Chromista	Bigyra	Bicoecea	Bicoecida	Cafeteriaceae	Pseudobodo	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Bicoecida - [Family] Cafeteriaceae - [Genus] Pseudobodo - [Species] Pseudobodo tremulans
Caecitellus parvulus	Species	104016	Caecitellus	103991	(Griessmann) D.J.Patterson, K.Nygaard, G.Steinberg & Turley, 1993	accepted	Chromista	Bigyra	Bicoecea	Anoecida	Caecitellidae	Caecitellus	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Heterokonta - [Phylum] Bigyra - [Subphylum] Bicosoecia - [Class] Bicoecea - [Subclass] Bicosidia - [Superorder] Cyathobodoniae - [Order] Anoecida - [Family] Caecitellidae - [Genus] Caecitellus - [Species] Caecitellus parvulus
Acanthocorbis apoda	Species	105542	Acanthocorbis	105501	(Leadbeater) Hara & Takahashi, 1984	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Acanthocorbis	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Acanthocorbis - [Species] Acanthocorbis apoda
Acanthocorbis asymmetrica	Species	105543	Acanthocorbis	105501	(Thomsen) Hara & Takahashi, 1984	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Acanthocorbis	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Acanthocorbis - [Species] Acanthocorbis asymmetrica
Acanthocorbis campanula	Species	105544	Acanthocorbis	105501	(Espeland) Thomsen, 1991	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Acanthocorbis	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Acanthocorbis - [Species] Acanthocorbis campanula
Acanthocorbis haurakiana	Species	105545	Acanthocorbis	105501	Thomsen, 1991	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Acanthocorbis	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Acanthocorbis - [Species] Acanthocorbis haurakiana
Acanthocorbis unguiculata	Species	105546	Acanthocorbis	105501	(Thomsen) Hara & Takahashi, 1984	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Acanthocorbis	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Acanthocorbis - [Species] Acanthocorbis unguiculata
Acanthoeca brevipoda	Species	105547	Acanthoeca	105502	W.Ellis, 1930	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Acanthoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Nudiform] - [Genus] Acanthoeca - [Species] Acanthoeca brevipoda
Acanthoeca spectabilis	Species	105548	Acanthoeca	105502	W.N.Ellis, 1930	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Acanthoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Nudiform] - [Genus] Acanthoeca - [Species] Acanthoeca spectabilis
Bicosta antennigera	Species	105556	Bicosta	105505	Moestrup, 1979	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Bicosta	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Bicosta - [Species] Bicosta antennigera
Bicosta minor	Species	105557	Bicosta	105505	(Reynolds) Leadbeater, 1978	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Bicosta	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Bicosta - [Species] Bicosta minor
Bicosta spinifera	Species	105558	Bicosta	105505	(Throndsen) Leadbeater, 1978	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Bicosta	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Bicosta - [Species] Bicosta spinifera
Calliacantha longicaudata	Species	105559	Calliacantha	105506	(Leadbeater) Leadbeater, 1978	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Calliacantha	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Nudiform] - [Genus] Calliacantha - [Species] Calliacantha longicaudata
Calliacantha multispina	Species	105560	Calliacantha	105506	Manton & Oates, 1979	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Calliacantha	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Nudiform] - [Genus] Calliacantha - [Species] Calliacantha multispina
Calliacantha natans	Species	105561	Calliacantha	105506	(Grøntved) Leadbeater, 1978	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Calliacantha	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Nudiform] - [Genus] Calliacantha - [Species] Calliacantha natans
Calliacantha simplex	Species	105562	Calliacantha	105506	Manton & Oates, 1979	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Calliacantha	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Nudiform] - [Genus] Calliacantha - [Species] Calliacantha simplex
Cosmoeca norvegica	Species	105567	Cosmoeca	105510	Thomsen, 1984	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Cosmoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Cosmoeca - [Species] Cosmoeca norvegica
Cosmoeca ventricosa	Species	105568	Cosmoeca	105510	Thomsen, 1984	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Cosmoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Cosmoeca - [Species] Cosmoeca ventricosa
Crinolina isefiordensis	Species	105569	Crinolina	105511	Thomsen, 1976	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Crinolina	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Crinolina - [Species] Crinolina isefiordensis
Crucispina cruciformis	Species	105570	Crucispina	105512	(Leadbeater) Espeland, 1986	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Crucispina	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Crucispina - [Species] Crucispina cruciformis
Diaphanoeca grandis	Species	105571	Diaphanoeca	105513	Ellis, 1930	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Diaphanoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Diaphanoeca - [Species] Diaphanoeca grandis
Diaphanoeca pedicellata	Species	105573	Diaphanoeca	105513	Leadbeater, 1972	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Diaphanoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Diaphanoeca - [Species] Diaphanoeca pedicellata
Diaphanoeca sphaerica	Species	105574	Diaphanoeca	105513	Thomsen, 1982	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Diaphanoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Diaphanoeca - [Species] Diaphanoeca sphaerica
Diaphanoeca undulata	Species	105575	Diaphanoeca	105513	Thomsen	uncertain	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Diaphanoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Diaphanoeca - [Species] Diaphanoeca undulata
Diplotheca costata	Species	105576	Diplotheca	105514	Valkanov, 1970	unaccepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Diplotheca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Diplotheca - [Species] Diplotheca costata
Monocosta fennica	Species	105578	Monocosta	105516	Thomsen	uncertain	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Monocosta	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Monocosta - [Species] Monocosta fennica
Nannoeca minuta	Species	105579	Nannoeca	105517	(Leadbeater) Thomsen	uncertain	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Nannoeca	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Nannoeca - [Species] Nannoeca minuta
Parvicorbicula circularis	Species	105582	Parvicorbicula	105518	Thomsen, 1976	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Parvicorbicula	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Parvicorbicula - [Species] Parvicorbicula circularis
Parvicorbicula quadricostata	Species	105587	Parvicorbicula	105518	Throndsen, 1970	accepted	Protozoa	Choanozoa	Choanoflagellatea	Acanthoecida	Acanthoecidae	Parvicorbicula	[] Biota - [Kingdom] Protozoa - [Subkingdom] Sarcomastigota - [Phylum] Choanozoa - [Subphylum] Choanofila - [Class] Choanoflagellatea - [Order] Acanthoecida - [Family] Acanthoecidae - [Subfamily] Acanthoecidae [Tectiform] - [Genus] Parvicorbicula - [Species] Parvicorbicula quadricostata
